ROWID,Country,State lgd code,State,YearCode,Year,Type of area,Age group,Gender,Literacy rate
1,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,female,67.8
2,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,male,86.4
3,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,person,77.5
4,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,female,67.3
5,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,male,86.6
6,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,person,77.5
7,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,female,70.1
8,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,male,86.9
9,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,person,78.8
10,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,female,69.8
11,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,male,87.2
12,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,person,78.9
13,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,female,78.2
14,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,male,88.7
15,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,person,83.6
16,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,female,78.7
17,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,male,89.4
18,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,person,84.2
19,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,female,68.5
20,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,male,87.1
21,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,person,78.1
22,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,female,69
23,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,male,87.7
24,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,person,78.7
25,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,female,70.4
26,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,male,87.7
27,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,person,79.4
28,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,female,70.8
29,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,male,88.4
30,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,person,79.9
31,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,female,77.4
32,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,male,90
33,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,person,83.9
34,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,female,77.7
35,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,male,90.8
36,India,1,Jammu And Kashmir,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,person,84.6
37,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,female,65
38,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,male,85.5
39,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,person,75.7
40,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,female,66
41,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,male,86.9
42,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,person,76.9
43,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,female,67.4
44,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,male,86.1
45,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,person,77.2
46,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,female,68.5
47,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,male,87.6
48,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,person,78.4
49,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,female,77.1
50,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,male,88.6
51,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,person,83
52,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,female,78.2
53,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,male,90.3
54,India,1,Jammu And Kashmir,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,person,84.4
55,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,female,69.7
56,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,male,86.3
57,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,person,78.2
58,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,female,70.5
59,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,male,87.2
60,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,person,79
61,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,female,71.4
62,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,male,87.1
63,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,person,79.4
64,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,female,72.1
65,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,male,88
66,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,person,80.3
67,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,female,78.2
68,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,male,90
69,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,person,84.4
70,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,female,78.9
71,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,male,91.3
72,India,1,Jammu And Kashmir,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,person,85.3
73,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,female,68
74,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,male,83.7
75,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,person,76.1
76,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,female,68.8
77,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,male,85.5
78,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,person,77.5
79,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,female,69.5
80,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,male,84.4
81,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,person,77.2
82,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,female,70.4
83,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,male,86.2
84,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,person,78.6
85,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,female,76
86,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,male,87.4
87,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,person,81.8
88,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,female,77.1
89,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,male,89.2
90,India,1,Jammu And Kashmir,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,person,83.3
91,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,female,67.4
92,India,1,Jammu And Kashmir,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,male,83.2
